STATIONS_ID;MESS_DATUM;QN_4;N_TER;CD_TER;eor
       1443;2007032506;    3;-999;-999;eor
       1443;2007032512;    3;-999;-999;eor
       1443;2007032518;    3;-999;-999;eor
       1443;2007032606;    3;-999;-999;eor
       1443;2007032612;    3;-999;-999;eor
       1443;2007032618;    3;-999;-999;eor
       1443;2007032706;    3;-999;-999;eor
       1443;2007032712;    3;-999;-999;eor
       1443;2007032718;    3;-999;-999;eor
       1443;2007032806;    3;-999;-999;eor
       1443;2007032812;    3;-999;-999;eor
       1443;2007032818;    3;-999;-999;eor
       1443;2007032906;    3;-999;-999;eor
       1443;2007032912;    3;-999;-999;eor
       1443;2007032918;    3;-999;-999;eor
       1443;2007033006;    3;-999;-999;eor
       1443;2007033012;    3;-999;-999;eor
       1443;2007033018;    3;-999;-999;eor
       1443;2007033106;    3;-999;-999;eor
       1443;2007033112;    3;-999;-999;eor
       1443;2007033118;    3;-999;-999;eor
       1443;2007040106;    3;-999;-999;eor
       1443;2007040112;    3;-999;-999;eor
       1443;2007040118;    3;-999;-999;eor
       1443;2007040206;    3;-999;-999;eor
       1443;2007040212;    3;-999;-999;eor
       1443;2007040218;    3;-999;-999;eor
       1443;2007040306;    3;-999;-999;eor
       1443;2007040312;    3;-999;-999;eor
       1443;2007040318;    3;-999;-999;eor
       1443;2007040406;    3;-999;-999;eor
       1443;2007040412;    3;-999;-999;eor
       1443;2007040418;    3;-999;-999;eor
       1443;2007040506;    3;-999;-999;eor
       1443;2007040512;    3;-999;-999;eor
       1443;2007040518;    3;-999;-999;eor
       1443;2007040606;    3;-999;-999;eor
       1443;2007040612;    3;-999;-999;eor
       1443;2007040618;    3;-999;-999;eor
       1443;2007040706;    3;-999;-999;eor
       1443;2007040712;    3;-999;-999;eor
       1443;2007040718;    3;-999;-999;eor
       1443;2007040806;    3;-999;-999;eor
       1443;2007040812;    3;-999;-999;eor
       1443;2007040818;    3;-999;-999;eor
       1443;2007040906;    3;-999;-999;eor
       1443;2007040912;    3;-999;-999;eor
       1443;2007040918;    3;-999;-999;eor
       1443;2007041006;    3;-999;-999;eor
       1443;2007041012;    3;-999;-999;eor
       1443;2007041018;    3;-999;-999;eor
       1443;2007041106;    3;-999;-999;eor
       1443;2007041112;    3;-999;-999;eor
       1443;2007041118;    3;-999;-999;eor
       1443;2007041206;    3;-999;-999;eor
       1443;2007041212;    3;-999;-999;eor
       1443;2007041218;    3;-999;-999;eor
       1443;2007041306;    3;-999;-999;eor
       1443;2007041312;    3;-999;-999;eor
       1443;2007041318;    3;-999;-999;eor
       1443;2007041406;    3;-999;-999;eor
       1443;2007041412;    3;-999;-999;eor
       1443;2007041418;    3;-999;-999;eor
       1443;2007041506;    3;-999;-999;eor
       1443;2007041512;    3;-999;-999;eor
       1443;2007041518;    3;-999;-999;eor
       1443;2007041606;    3;-999;-999;eor
       1443;2007041612;    3;-999;-999;eor
       1443;2007041618;    3;-999;-999;eor
       1443;2007041706;    3;-999;-999;eor
       1443;2007041712;    3;-999;-999;eor
       1443;2007041718;    3;-999;-999;eor
       1443;2007041806;    3;-999;-999;eor
       1443;2007041812;    3;-999;-999;eor
       1443;2007041818;    3;-999;-999;eor
       1443;2007041906;    3;-999;-999;eor
       1443;2007041912;    3;-999;-999;eor
       1443;2007041918;    3;-999;-999;eor
       1443;2007042006;    3;-999;-999;eor
       1443;2007042012;    3;-999;-999;eor
       1443;2007042018;    3;-999;-999;eor
       1443;2007042106;    3;-999;-999;eor
       1443;2007042112;    3;-999;-999;eor
       1443;2007042118;    3;-999;-999;eor
       1443;2007042206;    3;-999;-999;eor
       1443;2007042212;    3;-999;-999;eor
       1443;2007042218;    3;-999;-999;eor
       1443;2007042306;    3;-999;-999;eor
       1443;2007042312;    3;-999;-999;eor
       1443;2007042318;    3;-999;-999;eor
       1443;2007042406;    3;-999;-999;eor
       1443;2007042412;    3;-999;-999;eor
       1443;2007042418;    3;-999;-999;eor
       1443;2007042506;    3;-999;-999;eor
       1443;2007042512;    3;-999;-999;eor
       1443;2007042518;    3;-999;-999;eor
       1443;2007042606;    3;-999;-999;eor
       1443;2007042612;    3;-999;-999;eor
       1443;2007042618;    3;-999;-999;eor
       1443;2007042706;    3;-999;-999;eor
       1443;2007042712;    3;-999;-999;eor
       1443;2007042718;    3;-999;-999;eor
       1443;2007042806;    3;-999;-999;eor
       1443;2007042812;    3;-999;-999;eor
       1443;2007042818;    3;-999;-999;eor
       1443;2007042906;    3;-999;-999;eor
       1443;2007042912;    3;-999;-999;eor
       1443;2007042918;    3;-999;-999;eor
       1443;2007043006;    3;-999;-999;eor
       1443;2007043012;    3;-999;-999;eor
       1443;2007043018;    3;-999;-999;eor
       1443;2007050106;    3;-999;-999;eor
       1443;2007050112;    3;-999;-999;eor
       1443;2007050118;    3;-999;-999;eor
       1443;2007050206;    3;-999;-999;eor
       1443;2007050212;    3;-999;-999;eor
       1443;2007050218;    3;-999;-999;eor
       1443;2007050306;    3;-999;-999;eor
       1443;2007050312;    3;-999;-999;eor
       1443;2007050318;    3;-999;-999;eor
       1443;2007050406;    3;-999;-999;eor
       1443;2007050412;    3;-999;-999;eor
       1443;2007050418;    3;-999;-999;eor
       1443;2007050506;    3;-999;-999;eor
       1443;2007050512;    3;-999;-999;eor
       1443;2007050518;    3;-999;-999;eor
       1443;2007050606;    3;-999;-999;eor
       1443;2007050612;    3;-999;-999;eor
       1443;2007050618;    3;-999;-999;eor
       1443;2007050706;    3;-999;-999;eor
       1443;2007050712;    3;-999;-999;eor
       1443;2007050718;    3;-999;-999;eor
       1443;2007050806;    3;-999;-999;eor
       1443;2007050812;    3;-999;-999;eor
       1443;2007050818;    3;-999;-999;eor
       1443;2007050906;    3;-999;-999;eor
       1443;2007050912;    3;-999;-999;eor
       1443;2007050918;    3;-999;-999;eor
       1443;2007051006;    3;-999;-999;eor
       1443;2007051012;    3;-999;-999;eor
       1443;2007051018;    3;-999;-999;eor
       1443;2007051106;    3;-999;-999;eor
       1443;2007051112;    3;-999;-999;eor
       1443;2007051118;    3;-999;-999;eor
       1443;2007051206;    3;-999;-999;eor
       1443;2007051212;    3;-999;-999;eor
       1443;2007051218;    3;-999;-999;eor
       1443;2007051306;    3;-999;-999;eor
       1443;2007051312;    3;-999;-999;eor
       1443;2007051318;    3;-999;-999;eor
       1443;2007051406;    3;-999;-999;eor
       1443;2007051412;    3;-999;-999;eor
       1443;2007051418;    3;-999;-999;eor
       1443;2007051506;    3;-999;-999;eor
       1443;2007051512;    3;-999;-999;eor
       1443;2007051518;    3;-999;-999;eor
       1443;2007051606;    3;-999;-999;eor
       1443;2007051612;    3;-999;-999;eor
       1443;2007051618;    3;-999;-999;eor
       1443;2007051706;    3;-999;-999;eor
       1443;2007051712;    3;-999;-999;eor
       1443;2007051718;    3;-999;-999;eor
       1443;2007051806;    3;-999;-999;eor
       1443;2007051812;    3;-999;-999;eor
       1443;2007051818;    3;-999;-999;eor
       1443;2007051906;    3;-999;-999;eor
       1443;2007051912;    3;-999;-999;eor
       1443;2007051918;    3;-999;-999;eor
       1443;2007052006;    3;-999;-999;eor
       1443;2007052012;    3;-999;-999;eor
       1443;2007052018;    3;-999;-999;eor
       1443;2007052106;    3;-999;-999;eor
       1443;2007052112;    3;-999;-999;eor
       1443;2007052118;    3;-999;-999;eor
       1443;2007052206;    3;-999;-999;eor
       1443;2007052212;    3;-999;-999;eor
       1443;2007052218;    3;-999;-999;eor
       1443;2007052306;    3;-999;-999;eor
       1443;2007052312;    3;-999;-999;eor
       1443;2007052318;    3;-999;-999;eor
       1443;2007052406;    3;-999;-999;eor
       1443;2007052412;    3;-999;-999;eor
       1443;2007052418;    3;-999;-999;eor
       1443;2007052506;    3;-999;-999;eor
       1443;2007052512;    3;-999;-999;eor
       1443;2007052518;    3;-999;-999;eor
       1443;2007052606;    3;-999;-999;eor
       1443;2007052612;    3;-999;-999;eor
       1443;2007052618;    3;-999;-999;eor
       1443;2007052706;    3;-999;-999;eor
       1443;2007052712;    3;-999;-999;eor
