Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Apr 1, 2015;Apr 2, 2015;11,712.00;15,693.75;9,119.75;16,028.00;216.00;63,300.00;22,499.25;6,453.00;13,853.50;5,502.75
Apr 2, 2015;Apr 3, 2015;11,712.00;15,286.50;9,076.75;7,361.25;216.00;64,556.50;26,201.00;52.00;12,558.25;6,129.75
Apr 3, 2015;Apr 4, 2015;11,712.00;15,082.50;608.75;26,285.50;216.00;64,191.75;17,679.25;0.00;8,853.50;3,192.00
Apr 4, 2015;Apr 5, 2015;11,712.00;15,532.25;725.00;5,714.75;216.00;64,512.50;24,343.25;0.00;6,943.50;3,192.00
Apr 5, 2015;Apr 6, 2015;11,712.00;14,823.00;2,015.50;23,057.50;216.00;64,467.75;14,199.00;0.00;7,021.00;3,192.00
Apr 6, 2015;Apr 7, 2015;11,712.00;15,059.25;968.75;14,788.75;216.00;64,603.75;16,575.50;0.00;4,040.75;3,192.00
Apr 7, 2015;Apr 8, 2015;11,712.00;15,016.50;343.25;29,449.75;216.00;64,526.75;38,314.75;578.00;7,944.25;3,544.00
Apr 8, 2015;Apr 9, 2015;11,712.00;13,967.25;270.75;28,645.25;216.00;64,480.25;47,872.00;332.25;9,321.25;3,518.50
Apr 9, 2015;Apr 10, 2015;11,712.00;13,508.75;1,277.50;28,727.00;216.00;64,462.50;56,258.50;0.00;7,148.00;3,192.00
Apr 10, 2015;Apr 11, 2015;11,712.00;13,326.75;221.75;27,532.50;216.00;64,397.75;59,748.50;0.00;4,811.00;3,192.00
Apr 11, 2015;Apr 12, 2015;11,712.00;13,250.75;4,293.75;15,022.25;216.00;64,437.75;9,072.50;188.75;7,865.25;3,192.00
Apr 12, 2015;Apr 13, 2015;11,712.00;13,281.50;806.00;22,813.50;216.00;61,928.50;4,072.00;0.00;7,068.00;3,192.00
Apr 13, 2015;Apr 14, 2015;11,712.00;13,644.50;3,552.50;23,729.25;216.00;62,198.50;32,553.50;273.25;9,326.50;3,432.50
