Beginn-UTC,Ende-UTC,Beginn-Lokalzeit,Ende-Lokalzeit,Globalstrahlung (W/m²)
2018-09-19 00:00:00,2018-09-20 00:00:00,2018-09-19 02:00:00,2018-09-20 02:00:00,204.4169
2018-09-20 00:00:00,2018-09-21 00:00:00,2018-09-20 02:00:00,2018-09-21 02:00:00,208.6667
2018-09-21 00:00:00,2018-09-22 00:00:00,2018-09-21 02:00:00,2018-09-22 02:00:00,79.10306
2018-09-22 00:00:00,2018-09-23 00:00:00,2018-09-22 02:00:00,2018-09-23 02:00:00,159.7506
2018-09-23 00:00:00,2018-09-24 00:00:00,2018-09-23 02:00:00,2018-09-24 02:00:00,63.58178
2018-09-24 00:00:00,2018-09-25 00:00:00,2018-09-24 02:00:00,2018-09-25 02:00:00,218.7346
2018-09-25 00:00:00,2018-09-26 00:00:00,2018-09-25 02:00:00,2018-09-26 02:00:00,197.8958
2018-09-26 00:00:00,2018-09-27 00:00:00,2018-09-26 02:00:00,2018-09-27 02:00:00,208.7922
2018-09-27 00:00:00,2018-09-28 00:00:00,2018-09-27 02:00:00,2018-09-28 02:00:00,236.0638
2018-09-28 00:00:00,2018-09-29 00:00:00,2018-09-28 02:00:00,2018-09-29 02:00:00,187.9323
2018-09-29 00:00:00,2018-09-30 00:00:00,2018-09-29 02:00:00,2018-09-30 02:00:00,190.3144
2018-09-30 00:00:00,2018-10-01 00:00:00,2018-09-30 02:00:00,2018-10-01 02:00:00,173.5035
2018-10-01 00:00:00,2018-10-02 00:00:00,2018-10-01 02:00:00,2018-10-02 02:00:00,63.12352
2018-10-02 00:00:00,2018-10-03 00:00:00,2018-10-02 02:00:00,2018-10-03 02:00:00,101.8353
2018-10-03 00:00:00,2018-10-04 00:00:00,2018-10-03 02:00:00,2018-10-04 02:00:00,74.76473
2018-10-04 00:00:00,2018-10-05 00:00:00,2018-10-04 02:00:00,2018-10-05 02:00:00,168.7747
2018-10-05 00:00:00,2018-10-06 00:00:00,2018-10-05 02:00:00,2018-10-06 02:00:00,177.3781
2018-10-06 00:00:00,2018-10-07 00:00:00,2018-10-06 02:00:00,2018-10-07 02:00:00,124.3957
2018-10-07 00:00:00,2018-10-08 00:00:00,2018-10-07 02:00:00,2018-10-08 02:00:00,144.9125
2018-10-08 00:00:00,2018-10-09 00:00:00,2018-10-08 02:00:00,2018-10-09 02:00:00,84.49954
2018-10-09 00:00:00,2018-10-10 00:00:00,2018-10-09 02:00:00,2018-10-10 02:00:00,152.9883
2018-10-10 00:00:00,2018-10-11 00:00:00,2018-10-10 02:00:00,2018-10-11 02:00:00,112.7032
2018-10-11 00:00:00,2018-10-12 00:00:00,2018-10-11 02:00:00,2018-10-12 02:00:00,59.32369
2018-10-12 00:00:00,2018-10-13 00:00:00,2018-10-12 02:00:00,2018-10-13 02:00:00,154.8005
2018-10-13 00:00:00,2018-10-14 00:00:00,2018-10-13 02:00:00,2018-10-14 02:00:00,156.2092
2018-10-14 00:00:00,2018-10-15 00:00:00,2018-10-14 02:00:00,2018-10-15 02:00:00,155.2077
2018-10-15 00:00:00,2018-10-16 00:00:00,2018-10-15 02:00:00,2018-10-16 02:00:00,146.9882
