STATIONS_ID;MESS_DATUM;QN_6;RS; RSF;SH_TAG;NSH_TAG;eor
       1443;20231111;    3;   2.2;   6;   0;-999;eor
       1443;20231112;    3;  12.5;   6;   0;-999;eor
       1443;20231113;    3;  23.1;   6;   0;-999;eor
       1443;20231114;    3;  14.3;   6;   0;-999;eor
       1443;20231115;    3;   1.0;   6;   0;-999;eor
       1443;20231116;    3;  20.3;   6;   0;-999;eor
       1443;20231117;    3;   9.3;   6;   0;-999;eor
       1443;20231118;    3;   7.7;   6;   0;-999;eor
       1443;20231119;    3;   0.0;   0;   0;-999;eor
       1443;20231120;    3;   1.9;   6;   0;-999;eor
       1443;20231121;    3;   4.2;   6;   0;-999;eor
       1443;20231122;    3;   0.0;   6;   0;-999;eor
       1443;20231123;    3;   0.0;   6;   0;-999;eor
       1443;20231124;    3;   2.2;   6;   0;-999;eor
