STATIONS_ID;MESS_DATUM;QN_4;DK_TER;FK_TER;eor
       5100;2024013106;    9;  16;   2;eor
       5100;2024013112;    9;  24;   3;eor
       5100;2024013118;    9;  20;   3;eor
       5100;2024020106;    9;  20;   3;eor
       5100;2024020112;    9;  28;   2;eor
       5100;2024020118;    9;  32;   1;eor
       5100;2024020206;    9;  20;   2;eor
       5100;2024020212;    9;  20;   4;eor
       5100;2024020218;    9;  20;   4;eor
       5100;2024020306;    9;  20;   4;eor
       5100;2024020312;    9;  20;   4;eor
       5100;2024020318;    9;  20;   4;eor
       5100;2024020406;    9;  20;   4;eor
       5100;2024020412;    9;  20;   4;eor
       5100;2024020418;    9;  20;   4;eor
       5100;2024020506;    9;  20;   4;eor
       5100;2024020512;    9;  20;   4;eor
       5100;2024020518;    9;  20;   5;eor
       5100;2024020606;    9;  20;   5;eor
       5100;2024020612;    9;  20;   5;eor
       5100;2024020618;    9;  20;   5;eor
       5100;2024020706;    9;  20;   5;eor
       5100;2024020712;    9;  20;   5;eor
       5100;2024020718;    9;  20;   4;eor
       5100;2024020806;    9;  20;   4;eor
       5100;2024020812;    9;  20;   5;eor
       5100;2024020818;    9;  20;   5;eor
       5100;2024020906;    9;  16;   6;eor
       5100;2024020912;    9;  16;   5;eor
       5100;2024020918;    9;  16;   5;eor
       5100;2024021006;    9;  12;   2;eor
       5100;2024021012;    9;  32;   2;eor
       5100;2024021018;    9;   4;   2;eor
       5100;2024021106;    9;  20;   4;eor
       5100;2024021112;    9;  24;   2;eor
       5100;2024021118;    9;  20;   3;eor
       5100;2024021206;    9;  20;   3;eor
       5100;2024021212;    9;  24;   3;eor
       5100;2024021218;    9;  24;   2;eor
       5100;2024021306;    9;  20;   2;eor
       5100;2024021312;    9;  20;   3;eor
       5100;2024021318;    9;  20;   2;eor
       5100;2024021406;    9;  20;   3;eor
       5100;2024021412;    9;  20;   4;eor
       5100;2024021418;    9;  20;   4;eor
       5100;2024021506;    9;  20;   2;eor
       5100;2024021512;    9;  24;   2;eor
       5100;2024021518;    9;  16;   2;eor
       5100;2024021606;    9;  20;   2;eor
       5100;2024021612;    9;  20;   4;eor
       5100;2024021618;    9;  20;   3;eor
       5100;2024021706;    9;  16;   2;eor
       5100;2024021712;    9;  20;   1;eor
       5100;2024021718;    9;  16;   2;eor
       5100;2024021806;    9;  20;   2;eor
       5100;2024021812;    9;  20;   4;eor
       5100;2024021818;    9;  20;   4;eor
       5100;2024021906;    9;  28;   2;eor
       5100;2024021912;    9;  20;   3;eor
       5100;2024021918;    9;  24;   3;eor
       5100;2024022006;    9;  20;   2;eor
       5100;2024022012;    9;  20;   3;eor
       5100;2024022018;    9;  20;   3;eor
       5100;2024022106;    9;  20;   3;eor
       5100;2024022112;    9;  20;   4;eor
       5100;2024022118;    9;  16;   5;eor
       5100;2024022206;    9;  20;   4;eor
       5100;2024022212;    9;  20;   6;eor
       5100;2024022218;    9;  16;   7;eor
       5100;2024022306;    9;  20;   5;eor
       5100;2024022312;    9;  16;   5;eor
       5100;2024022318;    9;  16;   3;eor
       5100;2024022406;    9;  16;   5;eor
       5100;2024022412;    9;  16;   5;eor
       5100;2024022418;    9;  16;   2;eor
       5100;2024022506;    9;  20;   4;eor
       5100;2024022512;    9;  16;   4;eor
       5100;2024022518;    9;  12;   3;eor
       5100;2024022606;    9;  12;   3;eor
       5100;2024022612;    9;  32;   1;eor
       5100;2024022618;    9;   4;   4;eor
       5100;2024022706;    9;   4;   4;eor
       5100;2024022712;    9;   4;   3;eor
       5100;2024022718;    9;  32;   2;eor
       5100;2024022806;    9;   4;   1;eor
       5100;2024022812;    9;  28;   2;eor
       5100;2024022818;    9;  20;   2;eor
       5100;2024022906;    9;  16;   1;eor
       5100;2024022912;    9;  20;   3;eor
       5100;2024022918;    9;  16;   2;eor
       5100;2024030106;    9;  20;   3;eor
       5100;2024030112;    9;  20;   4;eor
       5100;2024030118;    9;  16;   3;eor
       5100;2024030206;    9;  16;   4;eor
       5100;2024030212;    9;  16;   4;eor
       5100;2024030218;    9;  12;   3;eor
       5100;2024030306;    9;   4;   3;eor
       5100;2024030312;    9;   4;   2;eor
       5100;2024030318;    9;  20;   2;eor
       5100;2024030406;    9;  12;   1;eor
       5100;2024030412;    9;  28;   2;eor
       5100;2024030418;    9;   4;   2;eor
       5100;2024030506;    9;  24;   2;eor
       5100;2024030512;    9;  16;   3;eor
       5100;2024030518;    9;  20;   2;eor
       5100;2024030606;    9;  32;   1;eor
       5100;2024030612;    9;  28;   1;eor
       5100;2024030618;    9;  20;   1;eor
       5100;2024030706;    9;   4;   3;eor
       5100;2024030712;    9;   4;   4;eor
       5100;2024030718;    9;   8;   3;eor
       5100;2024030806;    9;   4;   4;eor
       5100;2024030812;    9;   4;   3;eor
       5100;2024030818;    9;   8;   3;eor
       5100;2024030906;    9;   4;   2;eor
       5100;2024030912;    9;  12;   3;eor
       5100;2024030918;    9;   8;   3;eor
       5100;2024031006;    9;  32;   3;eor
       5100;2024031012;    9;  20;   2;eor
       5100;2024031018;    9;  20;   3;eor
       5100;2024031106;    9;  20;   3;eor
       5100;2024031112;    9;  20;   4;eor
       5100;2024031118;    9;  20;   3;eor
       5100;2024031206;    9;  20;   2;eor
       5100;2024031212;    9;  20;   3;eor
       5100;2024031218;    9;  16;   3;eor
       5100;2024031306;    9;  20;   2;eor
       5100;2024031312;    9;  20;   3;eor
       5100;2024031318;    9;  20;   3;eor
       5100;2024031406;    9;  24;   1;eor
       5100;2024031412;    9;  20;   3;eor
       5100;2024031418;    9;  16;   2;eor
       5100;2024031506;    9;  20;   3;eor
       5100;2024031512;    9;  20;   4;eor
       5100;2024031518;    9;  20;   4;eor
       5100;2024031606;    9;  20;   3;eor
